Date,Subscribers,AvgVeiwers,Followers,TotVeiws
Mar-22,84412,"90,033","225,998",11.6
Feb-22,83719,"66,908","110,650",13.9
Jan-22,88296,"74,967","131,965",14
Dec-21,95699,"77,580","187,334",17.3
Nov-21,84012,"76,850","182,275",16.3
Oct-21,78294,"70,752","158,452",14.6
Sep-21,71375,"64,244","138,564",14.1
Aug-21,79207,"57,728","108,680",12.4
Jul-21,63108,"61,265","3,129,257",17.1
Jun-21,76898,"59,423","118,022",12.5
May-21,80674,"72,498","140,159",17
Apr-21,76046,"110,073","198,477",28.1
Mar-21,67546,"89,437","184,176",24.3
Feb-21,55512,"80,120","289,306",23.9
Jan-21,58683,"66,007","199,454",17.1
Dec-20,63372,"74,595","405,444",25.1
Nov-20,52747,"67,104","274,025",19.3
Oct-20,55767,"58,194","157,747",12.3
Sep-20,51248,"50,908","476,081",13.9
Aug-20,42114,"52,639","267,765",14.6
Jul-20,49445,"42,368","18,897",11.9
Jun-20,40009,"38,139","188,336",11.5
May-20,41355,"32,493","113,641",8.51
Apr-20,54762,"31,762","77,673",8.89
Mar-20,36163,"56,899","604,352",15.7
Feb-20,34598,"22,920","224,417",6.15
Jan-20,35141,"19,666","103,908",5.41
Dec-19,39021,"20,476","102,944",5.89
Nov-19,33809,"24,990","83,079",6.52
Oct-19,31797,"22,035","146,831",5.61
Sep-19,33869,"19,419","65,556",4.63
Aug-19,27531,"19,709","57,659",5.18
Jul-19,26162,"20,156","105,977",7.19
Jun-19,24114,"17,486","74,727",6.96
May-19,22559,"16,475","71,043",5.85
Apr-19,20366,"13,828","63,522",4.81
Mar-19,21711,"13,303","90,290",4.01
Feb-19,27107,"12,809","45,924",4.33
Jan-19,21279,"15,572","68,514",4.42
Dec-18,19450,"16,828","87,729",4.96
Nov-18,16993,"14,273","71,819",4.61
Oct-18,16216,"15,635","69,353",4.02
Sep-18,16600,"9,794","48,637",3.29
Aug-18,15891,"8,864","45,564",3.16
Jul-18,13023,"9,637","69,709",4.1
Jun-18,8542,"9,707","67,258",4.16
May-18,8871,"7,129","40,501",2.58
Apr-18,9104,"7,168","33,186",2.16
Mar-18,11867,"8,045","40,685",2.68
Feb-18,7439,"8,010","50,925",2.56
Jan-18,7475,"8,065","48,844",1.99
Dec-17,6215,"7,122","60,538",1.68
Nov-17,4939,"5,450","42,357",1.48
Oct-17,4070,"5,212","44,765",1.34
Sep-17,3503,"3,799","32,460",1.2
Aug-17,1909,"3,104","26,232",0.861
Jul-17,1552,"2,060","27,917",0.468
Jun-17,956,"1,699","31,194",0.442
May-17,559,"1,326","11,516",0.183
Apr-17,515,"1,438","10,598",0.248
Mar-17,189,"1,409",0,0
