time,Date,Subscribers,AvgVeiwers,Followers,TotVeiws
1,Mar-17,189,1409,0,0
2,Apr-17,515,1438,10598,0.248
3,May-17,559,1326,11516,0.183
4,Jun-17,956,1699,31194,0.442
5,Jul-17,1552,2060,27917,0.468
6,Aug-17,1909,3104,26232,0.861
7,Sep-17,3503,3799,32460,1.2
8,Oct-17,4070,5212,44765,1.34
9,Nov-17,4939,5450,42357,1.48
10,Dec-17,6215,7122,60538,1.68
11,Jan-18,7475,8065,48844,1.99
12,Feb-18,7439,8010,50925,2.56
13,Mar-18,11867,8045,40685,2.68
14,Apr-18,9104,7168,33186,2.16
15,May-18,8871,7129,40501,2.58
16,Jun-18,8542,9707,67258,4.16
17,Jul-18,13023,9637,69709,4.1
18,Aug-18,15891,8864,45564,3.16
19,Sep-18,16600,9794,48637,3.29
20,Oct-18,16216,15635,69353,4.02
21,Nov-18,16993,14273,71819,4.61
22,Dec-18,19450,16828,87729,4.96
23,Jan-19,21279,15572,68514,4.42
24,Feb-19,27107,12809,45924,4.33
25,Mar-19,21711,13303,90290,4.01
26,Apr-19,20366,13828,63522,4.81
27,May-19,22559,16475,71043,5.85
28,Jun-19,24114,17486,74727,6.96
29,Jul-19,26162,20156,105977,7.19
30,Aug-19,27531,19709,57659,5.18
31,Sep-19,33869,19419,65556,4.63
32,Oct-19,31797,22035,146831,5.61
33,Nov-19,33809,24990,83079,6.52
34,Dec-19,39021,20476,102944,5.89
35,Jan-20,35141,19666,103908,5.41
36,Feb-20,34598,22920,224417,6.15
37,Mar-20,36163,56899,604352,15.7
38,Apr-20,54762,31762,77673,8.89
39,May-20,41355,32493,113641,8.51
40,Jun-20,40009,38139,188336,11.5
41,Jul-20,49445,42368,18897,11.9
42,Aug-20,42114,52639,267765,14.6
43,Sep-20,51248,50908,476081,13.9
44,Oct-20,55767,58194,157747,12.3
45,Nov-20,52747,67104,274025,19.3
46,Dec-20,63372,74595,405444,25.1
47,Jan-21,58683,66007,199454,17.1
48,Feb-21,55512,80120,289306,23.9
49,Mar-21,67546,89437,184176,24.3
50,Apr-21,76046,110073,198477,28.1
51,May-21,80674,72498,140159,17
52,Jun-21,76898,59423,118022,12.5
53,Jul-21,63108,61265,3129257,17.1
54,Aug-21,79207,57728,108680,12.4
55,Sep-21,71375,64244,138564,14.1
56,Oct-21,78294,70752,158452,14.6
57,Nov-21,84012,76850,182275,16.3
58,Dec-21,95699,77580,187334,17.3
59,Jan-22,88296,74967,131965,14
60,Feb-22,83719,66908,110650,13.9
61,Mar-22,84412,90033,225998,11.6
