"Date","CASE_STATUS","Cases","Deaths","Cases.Cumulative","Deaths.Cumulative"
"2020-03-01 00:00:00","Confirmed","0","0","0","0"
"2020-03-02 00:00:00","Confirmed","0","0","0","0"
"2020-03-03 00:00:00","Confirmed","0","0","0","0"
"2020-03-04 00:00:00","Confirmed","0","0","0","0"
"2020-03-05 00:00:00","Confirmed","3","0","3","0"
"2020-03-06 00:00:00","Confirmed","1","0","4","0"
"2020-03-07 00:00:00","Confirmed","5","0","9","0"
"2020-03-08 00:00:00","Confirmed","7","0","16","0"
"2020-03-09 00:00:00","Confirmed","5","0","21","0"
"2020-03-10 00:00:00","Confirmed","8","0","29","0"
"2020-03-11 00:00:00","Confirmed","9","0","38","0"
"2020-03-12 00:00:00","Confirmed","10","0","48","0"
"2020-03-13 00:00:00","Confirmed","15","0","63","0"
"2020-03-14 00:00:00","Confirmed","20","0","83","0"
"2020-03-15 00:00:00","Confirmed","24","0","107","0"
"2020-03-16 00:00:00","Confirmed","26","0","133","0"
"2020-03-17 00:00:00","Confirmed","35","0","168","0"
"2020-03-18 00:00:00","Confirmed","34","0","202","0"
"2020-03-19 00:00:00","Confirmed","26","0","228","0"
"2020-03-20 00:00:00","Confirmed","30","0","258","0"
"2020-03-21 00:00:00","Confirmed","36","0","294","0"
"2020-03-22 00:00:00","Confirmed","28","1","322","1"
"2020-03-23 00:00:00","Confirmed","41","2","363","3"
"2020-03-24 00:00:00","Confirmed","35","0","398","3"
"2020-03-25 00:00:00","Confirmed","39","0","437","3"
"2020-03-26 00:00:00","Confirmed","25","1","462","4"
"2020-03-27 00:00:00","Confirmed","33","0","495","4"
"2020-03-28 00:00:00","Confirmed","28","3","523","7"
"2020-03-29 00:00:00","Confirmed","34","0","557","7"
"2020-03-30 00:00:00","Confirmed","25","1","582","8"
"2020-03-31 00:00:00","Confirmed","30","0","612","8"
"2020-04-01 00:00:00","Confirmed","30","0","642","8"
"2020-04-02 00:00:00","Confirmed","18","0","660","8"
"2020-04-03 00:00:00","Confirmed","14","0","674","8"
"2020-04-04 00:00:00","Confirmed","15","2","689","10"
"2020-04-05 00:00:00","Confirmed","20","1","709","11"
"2020-04-06 00:00:00","Confirmed","37","1","746","12"
"2020-04-07 00:00:00","Confirmed","23","1","769","13"
"2020-04-08 00:00:00","Confirmed","26","3","795","16"
"2020-04-09 00:00:00","Confirmed","14","0","809","16"
"2020-04-10 00:00:00","Confirmed","25","1","834","17"
"2020-04-11 00:00:00","Confirmed","21","2","855","19"
"2020-04-12 00:00:00","Confirmed","14","3","869","22"
"2020-04-13 00:00:00","Confirmed","25","1","894","23"
"2020-04-14 00:00:00","Confirmed","31","3","925","26"
