date,daily_cases,daily_deaths,change_daily_cases,cumulative_cases,cumulative_deaths
2020-01-21,NA,NA,NA,1,0
2020-01-22,0,0,NA,1,0
2020-01-23,0,0,0,1,0
2020-01-24,1,0,1,2,0
2020-01-25,1,0,0,3,0
2020-01-26,2,0,1,5,0
2020-01-27,0,0,-2,5,0
2020-01-28,0,0,0,5,0
2020-01-29,0,0,0,5,0
2020-01-30,1,0,1,6,0
2020-01-31,1,0,0,7,0
2020-02-01,1,0,0,8,0
2020-02-02,3,0,2,11,0
2020-02-03,0,0,-3,11,0
2020-02-04,0,0,0,11,0
2020-02-05,1,0,1,12,0
2020-02-06,0,0,-1,12,0
2020-02-07,0,0,0,12,0
2020-02-08,0,0,0,12,0
2020-02-09,0,0,0,12,0
2020-02-10,1,0,1,13,0
2020-02-11,0,0,-1,13,0
2020-02-12,1,0,1,14,0
2020-02-13,1,0,0,15,0
2020-02-14,0,0,-1,15,0
2020-02-15,0,0,0,15,0
2020-02-16,0,0,0,15,0
2020-02-17,10,0,10,25,0
2020-02-18,0,0,-10,25,0
2020-02-19,0,0,0,25,0
2020-02-20,2,0,2,27,0
2020-02-21,3,0,1,30,0
2020-02-22,0,0,-3,30,0
2020-02-23,0,0,0,30,0
2020-02-24,13,0,13,43,0
2020-02-25,2,0,-11,45,0
2020-02-26,15,0,13,60,0
2020-02-27,0,0,-15,60,0
2020-02-28,5,0,5,65,0
2020-02-29,5,1,0,70,1
2020-03-01,18,2,13,88,3
2020-03-02,16,3,-2,104,6
2020-03-03,21,4,5,125,10
2020-03-04,36,2,15,161,12
2020-03-05,67,0,31,228,12
2020-03-06,83,3,16,311,15
2020-03-07,117,4,34,428,19
2020-03-08,119,3,2,547,22
2020-03-09,201,4,82,748,26
2020-03-10,270,5,69,1018,31
2020-03-11,245,6,-25,1263,37
2020-03-12,405,6,160,1668,43
2020-03-13,556,7,151,2224,50
2020-03-14,674,10,118,2898,60
2020-03-15,702,8,28,3600,68
2020-03-16,907,23,205,4507,91
2020-03-17,1399,26,492,5906,117
2020-03-18,2444,45,1045,8350,162
2020-03-19,4043,50,1599,12393,212
2020-03-20,5619,65,1576,18012,277
2020-03-21,6516,83,897,24528,360
2020-03-22,8545,98,2029,33073,458
2020-03-23,10432,121,1887,43505,579
