Date,Cases,Deaths,CumulativeCases,CumulativeDeaths
2020-03-01T00:00:00Z,14,0,14,0
2020-03-02T00:00:00Z,13,0,27,0
2020-03-03T00:00:00Z,22,0,49,0
2020-03-04T00:00:00Z,24,0,73,0
2020-03-05T00:00:00Z,26,0,99,0
2020-03-06T00:00:00Z,42,0,141,0
2020-03-07T00:00:00Z,48,0,189,0
2020-03-08T00:00:00Z,63,0,252,0
2020-03-09T00:00:00Z,125,0,377,0
2020-03-10T00:00:00Z,157,0,534,0
2020-03-11T00:00:00Z,203,0,737,0
2020-03-12T00:00:00Z,276,0,1013,0
2020-03-13T00:00:00Z,367,0,1380,0
2020-03-14T00:00:00Z,389,0,1769,0
2020-03-15T00:00:00Z,492,0,2261,0
2020-03-16T00:00:00Z,739,1,3000,1
2020-03-17T00:00:00Z,833,0,3833,1
2020-03-18T00:00:00Z,949,3,4782,4
2020-03-19T00:00:00Z,827,5,5609,9
2020-03-20T00:00:00Z,1012,3,6621,12
2020-03-21T00:00:00Z,837,8,7458,20
2020-03-22T00:00:00Z,831,12,8289,32
2020-03-23T00:00:00Z,1305,21,9594,53
2020-03-24T00:00:00Z,1134,25,10728,78
2020-03-25T00:00:00Z,1240,24,11968,102
2020-03-26T00:00:00Z,1199,47,13167,149
2020-03-27T00:00:00Z,1354,48,14521,197
2020-03-28T00:00:00Z,1088,66,15609,263
2020-03-29T00:00:00Z,932,62,16541,325
2020-03-30T00:00:00Z,1640,77,18181,402
2020-03-31T00:00:00Z,1369,111,19550,513
2020-04-01T00:00:00Z,1619,123,21169,636
2020-04-02T00:00:00Z,1182,124,22351,760
2020-04-03T00:00:00Z,1253,114,23604,874
2020-04-04T00:00:00Z,1053,110,24657,984
2020-04-05T00:00:00Z,881,109,25538,1093
2020-04-06T00:00:00Z,1390,134,26928,1227
2020-04-07T00:00:00Z,1244,150,28172,1377
2020-04-08T00:00:00Z,1184,144,29356,1521
2020-04-09T00:00:00Z,1074,146,30430,1667
2020-04-10T00:00:00Z,1118,156,31548,1823
2020-04-11T00:00:00Z,854,154,32402,1977
2020-04-12T00:00:00Z,692,158,33094,2135
2020-04-13T00:00:00Z,1119,133,34213,2268
2020-04-14T00:00:00Z,1007,134,35220,2402
2020-04-15T00:00:00Z,1014,136,36234,2538
