day,reports
1,761
2,711
3,605
4,456
5,413
6,767
7,657
8,597
9,647
10,536
11,366
12,333
13,706
14,590
15,564
16,579
17,537
18,492
19,486
20,1019
21,1026
22,1338
23,1301
24,909
25,592
26,1282
27,2416
28,2525
29,2362
30,2445
31,1622
32,1046
33,1658
34,3424
35,3235
36,2700
37,2310
38,2394
39,1430
40,1221
41,2506
42,2156
43,2058
44,1820
45,1640
46,1055
47,866
48,1560
49,1481
50,1213
51,1009
52,877
53,641
54,493
55,819
56,743
57,710
58,582
59,503
60,359
61,376
62,574
63,511
64,296
65,267
66,306
67,229
68,177
69,307
70,237
71,187
72,190
73,173
74,127
75,109
76,154
77,149
78,162
79,117
80,110
81,103
82,84
83,130
84,90
85,113
86,94
87,83
88,80
89,48
90,98
91,98
92,98
93,82
94,70
95,93
96,67
97,83
98,96
99,70
100,87
101,57
102,58
103,65
104,86
105,73
106,67
107,75
108,70
109,57
110,61
111,101
112,82
113,82
114,60
115,86
116,69
117,82
118,99
119,84
120,94
121,81
