time,cases,7_avg
Jan 23 2020,1,0
Jan 24 2020,1,0
Jan 25 2020,0,0
Jan 26 2020,1,0
Jan 27 2020,0,0
Jan 28 2020,0,0
Jan 29 2020,0,0
Jan 30 2020,0,0
Jan 31 2020,1,0
Feb  1 2020,1,0
Feb  2 2020,3,0
Feb  3 2020,3,1
Feb  4 2020,0,1
Feb  5 2020,0,1
Feb  6 2020,0,1
Feb  7 2020,1,1
Feb  8 2020,0,1
Feb  9 2020,0,0
Feb 10 2020,0,0
Feb 11 2020,0,0
Feb 12 2020,1,0
Feb 13 2020,1,0
Feb 14 2020,0,0
Feb 15 2020,0,0
Feb 16 2020,0,0
Feb 17 2020,2,0
Feb 18 2020,5,1
Feb 19 2020,3,1
Feb 20 2020,1,1
Feb 21 2020,5,2
Feb 22 2020,6,3
Feb 23 2020,0,3
Feb 24 2020,4,3
Feb 25 2020,4,3
Feb 26 2020,8,4
Feb 27 2020,5,4
Feb 28 2020,4,4
Feb 29 2020,9,4
Mar  1 2020,18,7
Mar  2 2020,36,12
Mar  3 2020,51,18
Mar  4 2020,70,27
Mar  5 2020,78,38
Mar  6 2020,130,56
Mar  7 2020,146,75
Mar  8 2020,214,103
Mar  9 2020,390,154
Mar 10 2020,498,218
Mar 11 2020,530,283
Mar 12 2020,734,377
Mar 13 2020,951,494
Mar 14 2020,1218,647
Mar 15 2020,2176,928
Mar 16 2020,2346,1207
Mar 17 2020,3199,1593
Mar 18 2020,4892,2216
Mar 19 2020,6121,2986
Mar 20 2020,7547,3928
Mar 21 2020,9122,5057
Mar 22 2020,10858,6297
Mar 23 2020,10692,7490
Mar 24 2020,11402,8662
Mar 25 2020,14083,9975
Mar 26 2020,18538,11748
Mar 27 2020,20218,13559
Mar 28 2020,20809,15228
Mar 29 2020,26288,17432
Mar 30 2020,15306,18092
Mar 31 2020,23731,19853
Apr  1 2020,28415,21900
Apr  2 2020,30014,23540
Apr  3 2020,31742,25186
Apr  4 2020,32518,26859
Apr  5 2020,27040,26966
Apr  6 2020,28644,28872
Apr  7 2020,29187,29651
Apr  8 2020,34240,30483
Apr  9 2020,34840,31173
Apr 10 2020,32656,31303
Apr 11 2020,32144,31250
Apr 12 2020,27137,31264
Apr 13 2020,24988,30741
Apr 14 2020,25080,30155
Apr 15 2020,25254,28871
Apr 16 2020,31681,28420
Apr 17 2020,30325,28087
Apr 18 2020,27661,27446
Apr 19 2020,26891,27411
Apr 20 2020,26085,27568
Apr 21 2020,25234,27590
Apr 22 2020,31144,28431
Apr 23 2020,32983,28617
Apr 24 2020,34903,29271
Apr 25 2020,32878,30016
Apr 26 2020,26578,29972
Apr 27 2020,24173,29699
Apr 28 2020,23593,29464
Apr 29 2020,27034,28877
Apr 30 2020,31445,28657
May  1 2020,32141,28263
May  2 2020,28400,27623
May  3 2020,26795,27654
May  4 2020,21545,27279
May  5 2020,22869,27175
May  6 2020,25331,26932
May  7 2020,29530,26658
May  8 2020,28327,26113
May  9 2020,25862,25751
May 10 2020,21616,25011
May 11 2020,19804,24762
May 12 2020,24196,24952
May 13 2020,17459,23827
May 14 2020,34450,24530
May 15 2020,26889,24325
May 16 2020,25817,24318
May 17 2020,20023,24091
May 18 2020,23122,24565
May 19 2020,21709,24209
May 20 2020,24030,25148
May 21 2020,25810,23914
May 22 2020,26027,23791
May 23 2020,21225,23135
May 24 2020,21678,23371
May 25 2020,19524,22857
May 26 2020,16826,22160
May 27 2020,19800,21555
May 28 2020,24201,21325
May 29 2020,23799,21007
May 30 2020,24067,21413
May 31 2020,21321,21362
Jun  1 2020,17242,21036
Jun  2 2020,20812,21606
Jun  3 2020,21027,21781
Jun  4 2020,20660,21275
Jun  5 2020,24720,21407
Jun  6 2020,23708,21355
Jun  7 2020,17757,20846
Jun  8 2020,18078,20966
Jun  9 2020,18576,20646
Jun 10 2020,22256,20822
Jun 11 2020,23005,21157
Jun 12 2020,28397,21682
Jun 13 2020,26418,22069
Jun 14 2020,20518,22464
Jun 15 2020,20678,22835
Jun 16 2020,24785,23722
Jun 17 2020,25870,24238
Jun 18 2020,28651,25045
Jun 19 2020,33230,25735
Jun 20 2020,33326,26722
Jun 21 2020,27247,27683
Jun 22 2020,28780,28841
Jun 23 2020,37891,30713
Jun 24 2020,37239,32337
Jun 25 2020,47188,34985
Jun 26 2020,46551,36888
Jun 27 2020,43447,38334
Jun 28 2020,37549,39806
Jun 29 2020,38696,41223
Jun 30 2020,46663,42476
Jul  1 2020,59322,45630
Jul  2 2020,55590,46831
Jul  3 2020,60390,48808
Jul  4 2020,49591,49685
Jul  5 2020,40052,50043
Jul  6 2020,51116,51817
Jul  7 2020,56223,53183
Jul  8 2020,65116,54011
Jul  9 2020,62288,54968
Jul 10 2020,68474,56122
Jul 11 2020,67652,58703
Jul 12 2020,59779,61521
Jul 13 2020,56240,62253
Jul 14 2020,64949,63499
Jul 15 2020,72286,64524
Jul 16 2020,69906,65612
Jul 17 2020,77100,66844
Jul 18 2020,67354,66802
Jul 19 2020,60072,66843
Jul 20 2020,58632,67185
Jul 21 2020,63637,66998
Jul 22 2020,72445,67020
Jul 23 2020,73743,67569
Jul 24 2020,73415,67042
Jul 25 2020,61466,66201
Jul 26 2020,58484,65974
Jul 27 2020,53609,65257
Jul 28 2020,59121,64611
Jul 29 2020,64850,63526
Jul 30 2020,66811,62536
Jul 31 2020,68722,61866
Aug  1 2020,56546,61163
Aug  2 2020,51475,60162
Aug  3 2020,45474,58999
Aug  4 2020,51896,57967
Aug  5 2020,56106,56718
Aug  6 2020,54820,55005
Aug  7 2020,62261,54082
Aug  8 2020,51643,53382
Aug  9 2020,46591,52684
Aug 10 2020,44261,52511
Aug 11 2020,59059,53534
Aug 12 2020,55167,53400
Aug 13 2020,52117,53014
Aug 14 2020,56139,52139
Aug 15 2020,51712,52149
Aug 16 2020,41973,51489
Aug 17 2020,41896,51151
Aug 18 2020,41696,48671
Aug 19 2020,47084,47516
Aug 20 2020,46823,46760
Aug 21 2020,47830,45573
Aug 22 2020,41763,44152
Aug 23 2020,37142,43462
Aug 24 2020,36209,42649
Aug 25 2020,40799,42521
Aug 26 2020,47286,42550
Aug 27 2020,47041,42581
Aug 28 2020,47061,42471
Aug 29 2020,41051,42369
Aug 30 2020,36715,42308
Aug 31 2020,39217,42738
Sep  1 2020,39077,42492
Sep  2 2020,42368,41790
Sep  3 2020,45445,41562
Sep  4 2020,51324,42171
Sep  5 2020,41703,42264
Sep  6 2020,33714,41835
Sep  7 2020,25077,39815
Sep  8 2020,28634,38323
Sep  9 2020,35309,37315
Sep 10 2020,38872,36376
Sep 11 2020,44376,35383
Sep 12 2020,40275,35179
Sep 13 2020,33006,35078
Sep 14 2020,34666,36448
Sep 15 2020,37183,37669
Sep 16 2020,44829,39029
Sep 17 2020,45405,39962
Sep 18 2020,48160,40503
Sep 19 2020,42504,40821
Sep 20 2020,34286,41004
Sep 21 2020,41739,42015
Sep 22 2020,50045,43852
Sep 23 2020,42684,43546
Sep 24 2020,46382,43685
Sep 25 2020,50205,43977
Sep 26 2020,42885,44032
Sep 27 2020,35269,44172
Sep 28 2020,39251,43817
Sep 29 2020,38961,42233
Sep 30 2020,45998,42707
Oct  1 2020,47512,42868
Oct  2 2020,51185,43008
Oct  3 2020,48036,43744
Oct  4 2020,35616,43794
Oct  5 2020,41751,44151
Oct  6 2020,41943,44577
Oct  7 2020,54337,45768
Oct  8 2020,55685,46936
Oct  9 2020,59179,48078
Oct 10 2020,54010,48931
Oct 11 2020,44782,50241
Oct 12 2020,50066,51428
Oct 13 2020,50591,52664
Oct 14 2020,58073,53198
Oct 15 2020,63148,54264
Oct 16 2020,69424,55727
Oct 17 2020,54754,55834
Oct 18 2020,49116,56453
Oct 19 2020,62074,58168
Oct 20 2020,59149,59391
Oct 21 2020,70215,61125
Oct 22 2020,75043,62825
Oct 23 2020,82963,64759
Oct 24 2020,76533,67870
Oct 25 2020,65967,70277
Oct 26 2020,69962,71404
Oct 27 2020,76006,73812
Oct 28 2020,85092,75938
Oct 29 2020,91554,78296
Oct 30 2020,98071,80455
Oct 31 2020,93381,82861
Nov  1 2020,74292,84051
Nov  2 2020,87547,86563
Nov  3 2020,98919,89836
Nov  4 2020,114995,94108
Nov  5 2020,123760,98709
Nov  6 2020,134454,103906
Nov  7 2020,129469,109062
Nov  8 2020,111919,114437
Nov  9 2020,125316,119833
Nov 10 2020,147660,126796
Nov 11 2020,154286,132409
Nov 12 2020,162880,137997
Nov 13 2020,178169,144242
Nov 14 2020,164361,149227
Nov 15 2020,139671,153191
Nov 16 2020,153120,157163
Nov 17 2020,167782,160038
Nov 18 2020,171722,162529
