"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2009","AQS","260990009","1","9.6","ug/m3 LC","40","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/04/2009","AQS","260990009","1","12.6","ug/m3 LC","52","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/07/2009","AQS","260990009","1","16.7","ug/m3 LC","61","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/10/2009","AQS","260990009","1","15.5","ug/m3 LC","58","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/13/2009","AQS","260990009","1","9","ug/m3 LC","38","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/16/2009","AQS","260990009","1","19","ug/m3 LC","66","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/19/2009","AQS","260990009","1","14.6","ug/m3 LC","56","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/22/2009","AQS","260990009","1","31.6","ug/m3 LC","92","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/25/2009","AQS","260990009","1","14.4","ug/m3 LC","56","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/28/2009","AQS","260990009","1","17.3","ug/m3 LC","62","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"01/31/2009","AQS","260990009","1","15.3","ug/m3 LC","58","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/06/2009","AQS","260990009","1","26.2","ug/m3 LC","81","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/09/2009","AQS","260990009","1","24.7","ug/m3 LC","77","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/12/2009","AQS","260990009","1","7.5","ug/m3 LC","31","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/15/2009","AQS","260990009","1","5.7","ug/m3 LC","24","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/18/2009","AQS","260990009","1","11.7","ug/m3 LC","49","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/21/2009","AQS","260990009","1","13.8","ug/m3 LC","55","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"02/27/2009","AQS","260990009","1","10","ug/m3 LC","42","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/02/2009","AQS","260990009","1","3","ug/m3 LC","13","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
"03/05/2009","AQS","260990009","1","17.5","ug/m3 LC","62","New Haven","1","100.0000","88101","PM2.5 - Local Conditions","19820","Detroit-Warren-Dearborn, MI","26","Michigan","099","Macomb","42.7313941191528","-82.79346283166"
