Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2021,AQS,260990009,1,15.4,ug/m3 LC,58,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/2/2021,AQS,260990009,1,6,ug/m3 LC,25,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/3/2021,AQS,260990009,1,9.7,ug/m3 LC,40,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/4/2021,AQS,260990009,1,12.2,ug/m3 LC,51,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/5/2021,AQS,260990009,1,15.2,ug/m3 LC,58,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/6/2021,AQS,260990009,1,14.5,ug/m3 LC,56,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/7/2021,AQS,260990009,1,3.9,ug/m3 LC,16,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/8/2021,AQS,260990009,1,3.1,ug/m3 LC,13,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/9/2021,AQS,260990009,1,6.2,ug/m3 LC,26,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/10/2021,AQS,260990009,1,18.2,ug/m3 LC,64,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/11/2021,AQS,260990009,1,22.4,ug/m3 LC,73,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/12/2021,AQS,260990009,1,19.8,ug/m3 LC,67,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/13/2021,AQS,260990009,1,21.8,ug/m3 LC,71,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/14/2021,AQS,260990009,1,19.5,ug/m3 LC,67,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/15/2021,AQS,260990009,1,12.1,ug/m3 LC,51,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/16/2021,AQS,260990009,1,11.1,ug/m3 LC,46,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/17/2021,AQS,260990009,1,6.8,ug/m3 LC,28,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/18/2021,AQS,260990009,1,7.1,ug/m3 LC,30,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/19/2021,AQS,260990009,1,11.3,ug/m3 LC,47,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
1/20/2021,AQS,260990009,1,7.9,ug/m3 LC,33,New Haven,1,100,88101,PM2.5 - Local Conditions,19820,"Detroit-Warren-Dearborn, MI",26,Michigan,99,Macomb,42.73139412,-82.79346283
