DATE,IPN31152N
1972-01-01,60.1527
1972-02-01,67.2736
1972-03-01,74.4710
1972-04-01,78.3605
1972-05-01,85.0332
1972-06-01,100.9161
1972-07-01,100.4449
1972-08-01,96.6673
1972-09-01,86.0737
1972-10-01,70.6174
1972-11-01,61.0006
1972-12-01,58.8463
1973-01-01,61.2939
1973-02-01,72.4358
1973-03-01,80.3531
1973-04-01,84.1727
1973-05-01,87.6490
1973-06-01,110.0957
1973-07-01,107.7163
1973-08-01,99.9803
1973-09-01,91.9189
1973-10-01,75.5448
1973-11-01,66.1444
1973-12-01,61.7266
1974-01-01,63.1806
1974-02-01,75.5853
1974-03-01,84.5376
1974-04-01,84.8588
1974-05-01,90.8292
1974-06-01,110.2544
1974-07-01,104.2230
1974-08-01,101.3501
1974-09-01,89.7630
1974-10-01,73.9313
1974-11-01,66.3693
1974-12-01,61.2609
1975-01-01,64.4718
1975-02-01,75.6588
1975-03-01,85.4413
1975-04-01,85.3636
1975-05-01,97.6658
1975-06-01,113.8869
1975-07-01,108.4892
1975-08-01,105.1574
1975-09-01,90.4006
1975-10-01,75.9575
1975-11-01,70.4377
1975-12-01,62.9406
1976-01-01,62.1359
1976-02-01,74.2914
1976-03-01,87.2364
1976-04-01,90.4127
1976-05-01,94.4487
1976-06-01,110.3704
1976-07-01,107.7992
1976-08-01,104.1455
1976-09-01,92.5301
1976-10-01,75.3424
1976-11-01,67.7480
1976-12-01,62.6839
1977-01-01,63.9745
1977-02-01,75.3050
1977-03-01,90.3144
1977-04-01,92.9673
1977-05-01,99.4444
1977-06-01,115.0985
1977-07-01,112.6970
1977-08-01,106.7606
1977-09-01,92.0194
1977-10-01,76.2699
1977-11-01,67.6100
1977-12-01,61.6373
1978-01-01,62.0839
1978-02-01,73.1004
1978-03-01,84.1940
1978-04-01,89.3363
1978-05-01,92.7387
1978-06-01,111.6697
1978-07-01,107.2551
1978-08-01,104.0113
1978-09-01,90.9003
1978-10-01,79.4300
1978-11-01,68.0970
1978-12-01,62.5993
1979-01-01,63.2111
1979-02-01,74.1756
1979-03-01,86.7038
1979-04-01,91.4958
1979-05-01,95.0067
1979-06-01,110.4607
1979-07-01,107.5032
1979-08-01,107.1208
1979-09-01,95.6274
1979-10-01,79.8574
1979-11-01,68.1139
1979-12-01,63.4909
1980-01-01,67.1999
1980-02-01,76.6913
1980-03-01,86.1664
1980-04-01,88.2804
1980-05-01,92.4678
1980-06-01,108.8118
1980-07-01,108.2162
1980-08-01,108.1975
1980-09-01,90.9538
1980-10-01,76.4667
1980-11-01,66.6941
1980-12-01,64.0639
1981-01-01,60.7474
1981-02-01,76.7223
1981-03-01,86.8830
1981-04-01,89.3098
1981-05-01,93.9892
1981-06-01,111.0283
1981-07-01,111.1303
1981-08-01,106.4537
1981-09-01,91.7611
1981-10-01,77.1703
1981-11-01,71.2566
1981-12-01,66.8151
1982-01-01,62.2779
1982-02-01,77.2827
1982-03-01,88.7960
1982-04-01,86.5305
1982-05-01,93.6493
1982-06-01,107.2898
1982-07-01,101.4819
1982-08-01,98.5253
1982-09-01,86.4682
1982-10-01,72.3072
1982-11-01,66.2391
1982-12-01,61.6633
1983-01-01,63.7245
1983-02-01,74.5943
1983-03-01,86.9163
1983-04-01,83.7841
1983-05-01,94.6362
1983-06-01,110.5579
1983-07-01,107.8746
1983-08-01,105.6151
1983-09-01,96.1827
1983-10-01,79.3075
1983-11-01,70.5737
1983-12-01,65.7924
1984-01-01,67.2137
1984-02-01,85.8890
1984-03-01,97.0890
1984-04-01,102.1572
1984-05-01,108.6907
1984-06-01,129.2661
1984-07-01,125.5411
1984-08-01,116.9928
1984-09-01,107.2397
1984-10-01,88.5509
1984-11-01,80.6459
1984-12-01,74.2115
1985-01-01,76.4159
1985-02-01,86.8848
1985-03-01,101.5521
1985-04-01,105.1924
1985-05-01,114.6715
1985-06-01,131.0005
1985-07-01,124.9014
1985-08-01,117.8103
1985-09-01,104.3907
